year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
     -950.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -900.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -850.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -800.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -750.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -700.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -650.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -600.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -550.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -500.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -450.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -400.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -350.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -300.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -250.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -200.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -150.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -100.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
      -50.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
        0.00000        2.18057        2.48073        0.00000      273.39361       -6.98080      233.55714        8.38929        7.50000       15.88929       15.88929       10.00000       14.88477        4.88477
       50.00000        2.18059        2.48073        0.00001      274.03782       -6.96493      233.57448        8.39748        7.50733       15.90481       15.89362       10.00000       14.89666        4.88536
      100.00000        2.18061        2.48073        0.00003      274.59416       -6.95182      233.57955        8.40451        7.51361       15.91812       15.89489       10.00000       14.90684        4.88644
      150.00000        2.18065        2.48074        0.00006      275.07750       -6.94097      233.57453        8.41057        7.51903       15.92960       15.89363       10.00000       14.91562        4.88790
      200.00000        2.18070        2.48074        0.00010      275.50019       -6.93200      233.56124        8.41583        7.52373       15.93956       15.89031       10.00000       14.92323        4.88966
      250.00000        2.18075        2.48075        0.00014      275.87248       -6.92458      233.54116        8.42043        7.52784       15.94826       15.88529       10.00000       14.92988        4.89167
      300.00000        2.18081        2.48075        0.00019      276.20288       -6.91843      233.51554        8.42447        7.53145       15.95592       15.87889       10.00000       14.93572        4.89388
      350.00000        2.18088        2.48076        0.00023      276.49844       -6.91334      233.48541        8.42805        7.53466       15.96271       15.87135       10.00000       14.94090        4.89623
      400.00000        2.18095        2.48077        0.00029      276.76502       -6.90913      233.45162        8.43126        7.53752       15.96878       15.86291       10.00000       14.94553        4.89869
      450.00000        2.18102        2.48078        0.00034      277.00747       -6.90565      233.41487        8.43414        7.54010       15.97424       15.85372       10.00000       14.94970        4.90124
      500.00000        2.18110        2.48079        0.00040      277.22982       -6.90276      233.37575        8.43677        7.54245       15.97922       15.84394       10.00000       14.95349        4.90386
      550.00000        2.18118        2.48080        0.00046      277.43543       -6.90038      233.33474        8.43917        7.54460       15.98377       15.83369       10.00000       14.95697        4.90651
      600.00000        2.18126        2.48082        0.00052      277.62704       -6.89841      233.29224        8.44140        7.54659       15.98798       15.82306       10.00000       14.96018        4.90920
      650.00000        2.18135        2.48083        0.00058      277.80698       -6.89678      233.24859        8.44347        7.54844       15.99191       15.81215       10.00000       14.96316        4.91189
      700.00000        2.18143        2.48085        0.00064      277.97714       -6.89543      233.20405        8.44541        7.55018       15.99559       15.80101       10.00000       14.96597        4.91460
      750.00000        2.18152        2.48086        0.00071      278.13911       -6.89432      233.15886        8.44725        7.55182       15.99907       15.78971       10.00000       14.96862        4.91730
      800.00000        2.18161        2.48088        0.00077      278.29420       -6.89341      233.11320        8.44900        7.55338       16.00238       15.77830       10.00000       14.97114        4.91999
      850.00000        2.18170        2.48090        0.00084      278.44350       -6.89265      233.06722        8.45067        7.55488       16.00555       15.76681       10.00000       14.97355        4.92267
      900.00000        2.18179        2.48092        0.00090      278.58791       -6.89203      233.02106        8.45228        7.55632       16.00860       15.75526       10.00000       14.97587        4.92533
      950.00000        2.18189        2.48095        0.00097      278.72818       -6.89152      232.97481        8.45384        7.55771       16.01155       15.74370       10.00000       14.97812        4.92797
     1000.00000        2.18198        2.48097        0.00103      278.86493       -6.89111      232.92857        8.45535        7.55906       16.01441       15.73214       10.00000       14.98030        4.93058
     1500.00000        2.18297        2.48127        0.00169      280.11893       -6.88959      232.47716        8.46903        7.57129       16.04032       15.61929       10.00000       14.99999        4.95530
     2000.00000        2.18403        2.48168        0.00233      281.27414       -6.88961      232.05871        8.48150        7.58244       16.06393       15.51468       10.00000       15.01791        4.97753
     2500.00000        2.18513        2.48219        0.00296      282.37650       -6.88985      231.67624        8.49334        7.59302       16.08637       15.41906       10.00000       15.03492        4.99780
     3000.00000        2.18629        2.48280        0.00357      283.43560       -6.89009      231.32779        8.50469        7.60317       16.10786       15.33195       10.00000       15.05119        5.01658
     3500.00000        2.18749        2.48349        0.00417      284.45532       -6.89032      231.01082        8.51558        7.61291       16.12849       15.25270       10.00000       15.06680        5.03420
     4000.00000        2.18873        2.48426        0.00475      285.43852       -6.89053      230.72286        8.52606        7.62228       16.14834       15.18071       10.00000       15.08179        5.05086
     4500.00000        2.19001        2.48511        0.00532      286.38773       -6.89072      230.46165        8.53616        7.63130       16.16746       15.11541       10.00000       15.09622        5.06672
     5000.00000        2.19133        2.48602        0.00587      287.30533       -6.89089      230.22509        8.54589        7.64000       16.18589       15.05627       10.00000       15.11011        5.08187
     5500.00000        2.19267        2.48700        0.00642      288.19351       -6.89104      230.01125        8.55529        7.64841       16.20370       15.00281       10.00000       15.12352        5.09640
     6000.00000        2.19405        2.48803        0.00695      289.05433       -6.89118      229.81835        8.56438        7.65653       16.22091       14.95459       10.00000       15.13647        5.11038
     6500.00000        2.19545        2.48911        0.00747      289.88972       -6.89130      229.64476        8.57318        7.66440       16.23759       14.91119       10.00000       15.14900        5.12384
     7000.00000        2.19687        2.49024        0.00799      290.70144       -6.89142      229.48896        8.58172        7.67203       16.25375       14.87224       10.00000       15.16114        5.13683
     7500.00000        2.19832        2.49142        0.00849      291.49117       -6.89152      229.34957        8.59001        7.67944       16.26945       14.83739       10.00000       15.17292        5.14939
